i,locat,count
0,2,99
3,7,99
7,17,99
8,13,99
10,24,99
12,20,99
13,3,99
15,0,99
15,1,99
17,22,99
19,29,99
21,13,99
23,14,99
23,23,99
24,9,99
2,12,98
3,17,98
3,21,98
4,10,98
5,21,98
5,28,98
5,29,98
7,16,98
7,26,98
8,10,98
9,9,98
10,3,98
11,17,98
13,11,98
14,3,98
14,6,98
14,14,98
16,6,98
16,8,98
16,18,98
16,28,98
17,17,98
18,8,98
22,0,98
22,12,98
22,29,98
23,6,98
24,7,98
1,30,97
3,16,97
5,4,97
5,26,97
6,5,97
7,27,97
9,12,97
10,15,97
13,29,97
14,13,97
19,3,97
19,10,97
19,18,97
23,30,97
26,15,97
26,21,97
3,2,96
4,31,96
7,8,96
8,26,96
11,11,96
15,20,96
17,16,96
20,1,96
24,11,96
25,1,96
26,8,96
1,22,95
1,29,95
7,7,95
8,3,95
17,29,95
23,4,95
26,1,95
2,10,94
13,22,94
13,25,94
25,25,94
6,25,93
8,12,93
15,8,93
24,6,93
25,24,93
6,16,92
8,24,92
24,10,92
20,22,91
21,25,91
23,10,91
23,17,91
17,8,90
19,4,90
5,10,89
10,4,89
14,18,89
16,26,89
17,13,89
2,5,88
4,0,88
10,9,88
22,31,88
25,22,88
6,9,87
8,30,87
1,0,86
21,21,86
18,4,85
21,27,85
0,15,84
0,17,84
14,9,84
21,23,84
13,21,83
15,23,83
6,2,82
21,0,81
16,27,80
10,11,79
19,23,78
21,18,77
24,8,77
7,12,76
20,18,76
23,11,75
11,0,75
12,25,74
26,3,74
20,24,73
2,6,72
3,14,72
9,11,72
14,16,70
24,27,70
5,9,70
7,22,70
16,7,69
16,13,69
8,31,69
19,26,69
3,28,67
25,29,67
13,1,66
19,17,66
15,11,66
1,13,64
18,20,64
26,19,62
2,2,60
8,11,59
13,30,59
16,12,59
16,25,58
4,1,58
10,20,58
0,29,57
1,6,57
4,4,56
2,22,56
0,19,54
8,1,54
17,25,54
20,21,54
4,6,53
16,24,53
4,29,51
7,13,51
22,22,51
12,21,51
14,19,50
25,7,50
9,23,48
20,31,48
2,18,48
12,4,47
6,27,47
23,13,46
0,21,46
21,16,45
22,8,45
1,16,45
0,1,44
26,7,44
18,25,43
0,8,43
2,7,43
13,0,42
6,30,42
24,24,42
14,1,42
25,15,41
21,24,41
8,14,40
12,8,40
15,15,40
10,7,39
12,18,39
