i,locat,count
2,12,100
9,9,100
10,24,100
14,13,100
15,1,100
22,0,100
22,12,100
23,14,100
24,9,100
0,2,99
3,7,99
8,13,99
13,11,99
13,29,99
16,6,99
16,8,99
17,17,99
18,8,99
5,4,98
6,5,98
7,8,98
7,27,98
10,3,98
13,3,98
15,0,98
16,18,98
17,22,98
17,29,98
19,29,98
24,7,98
4,10,98
7,16,97
19,18,97
20,1,97
25,24,97
0,15,96
7,17,96
14,14,96
15,23,96
19,3,96
23,23,96
7,26,96
25,1,96
1,29,95
1,30,95
3,21,95
5,26,95
5,29,95
8,3,95
8,10,95
11,17,95
14,6,95
16,13,95
21,13,95
23,30,95
23,11,95
3,2,94
11,11,94
24,11,94
25,25,94
26,15,94
26,1,94
2,5,93
4,0,93
5,28,93
6,9,93
9,12,93
19,10,93
26,8,93
10,4,93
3,28,92
12,20,92
14,18,92
15,8,92
14,16,92
3,17,91
11,0,91
23,4,91
26,3,91
24,8,91
1,13,91
22,31,90
8,26,89
13,25,89
16,28,89
21,25,89
23,17,89
3,14,88
3,16,88
26,21,88
7,7,88
2,6,87
10,9,87
21,18,87
2,10,85
15,11,85
15,20,85
24,6,84
1,22,84
6,27,83
16,26,83
17,16,83
6,2,82
14,3,82
18,4,82
22,29,82
21,0,82
4,31,81
5,21,81
23,10,80
7,12,80
13,21,79
24,10,79
6,16,78
8,30,77
9,2,75
1,0,75
2,22,74
14,9,74
16,12,74
7,22,73
8,24,73
8,31,73
13,30,73
4,4,73
21,22,73
5,9,72
13,22,72
19,4,72
20,21,72
6,25,71
10,15,70
7,13,70
0,8,69
16,27,69
23,6,69
8,1,68
9,31,68
21,26,68
0,19,68
16,7,68
21,21,67
25,22,67
8,12,66
12,21,66
16,25,65
1,16,64
12,25,64
0,9,63
9,1,63
17,13,63
19,23,63
21,27,63
24,24,62
24,1,61
25,7,61
12,0,61
6,26,61
10,20,60
20,25,60
8,14,60
20,9,59
20,18,58
8,11,57
25,11,57
4,29,57
25,29,57
19,17,56
13,0,55
9,23,54
22,25,52
26,19,52
4,6,52
1,6,51
22,22,50
16,24,50
20,22,50
14,19,50
12,10,49
17,7,48
23,31,48
10,11,48
0,1,48
6,3,47
19,8,46
2,18,45
5,13,45
13,27,45
19,26,45
12,8,45
21,23,44
20,29,44
3,10,44
13,10,43
18,20,43
26,24,43
5,10,42
16,11,41
18,19,41
13,6,41
14,2,41
13,18,40
16,30,40
22,14,40
23,13,40
0,0,39
2,7,39
5,7,39
1,20,39
15,31,39
4,21,38
0,17,38
20,24,38
5,30,38
13,4,37
15,15,37
16,23,36
11,8,36
8,9,36
17,31,36
19,14,35
22,27,35
1,5,35
17,26,34
2,16,34
9,28,33
21,16,33
12,29,33
17,25,33
7,10,33
10,0,33
6,14,33
18,13,33
10,7,32
12,18,32
6,22,31
18,0,31
24,17,31
20,31,31
6,12,30
25,15,30
14,11,30
1,7,29
21,24,29
24,27,29
18,25,29
6,10,29
9,11,29
17,30,28
23,0,28
8,23,28
10,31,27
26,2,27
2,2,27
17,2,27
15,10,26
0,26,26
6,4,26
25,3,26
0,29,26
3,23,26
24,31,26
24,20,26
4,1,25
20,4,25
24,18,25
1,12,25
6,23,25
7,4,24
24,21,24
11,2,24
6,20,24
12,2,24
23,22,24
18,29,23
24,3,23
3,4,23
14,1,23
26,12,23
17,10,23
0,6,22
6,17,22
18,15,22
25,9,22
0,31,22
2,29,22
16,22,22
2,4,21
24,30,21
5,23,21
13,1,21
17,8,21
0,30,21
7,30,21
11,31,21
7,6,20
8,19,20
18,18,20
19,1,20
24,25,20
15,5,20
21,28,20
4,2,20
1,26,19
3,15,19
5,20,19
11,16,18
6,21,18
5,31,18
15,16,18
1,8,18
25,19,18
2,26,18
10,5,17
11,23,17
12,4,17
11,10,17
11,6,17
2,1,16
22,23,16
6,18,16
0,14,16
16,3,16
18,7,16
26,7,15
8,22,15
8,5,15
10,14,15
12,7,15
12,19,15
12,22,14
26,9,14
17,9,14
6,28,14
20,7,14
22,1,14
4,19,14
2,15,14
11,3,13
17,11,13
6,15,13
11,4,13
12,15,12
12,27,12
19,9,12
5,15,12
18,1,12
2,31,12
9,4,12
13,23,12
24,14,12
15,13,12
25,18,12
18,24,11
2,20,11
17,23,11
9,19,11
9,24,11
6,6,11
7,25,11
7,0,11
8,2,11
15,3,11
22,26,11
17,12,11
5,18,11
1,27,11
5,8,11
9,22,11
20,23,11
22,4,10
22,28,10
25,23,10
19,12,10
1,21,10
11,18,10
3,31,10
26,25,10
4,11,10
22,24,10
22,8,10
13,24,10
12,17,10
11,24,10
20,19,10
0,7,10
18,27,10
4,3,10
26,23,10
0,13,10
8,28,10
1,24,9
4,16,9
18,2,9
21,14,9
25,13,9
26,10,9
22,19,9
26,22,9
12,12,9
22,7,9
19,30,9
5,5,9
16,31,9
22,10,9
24,23,9
20,5,9
3,6,8
25,31,8
21,4,8
21,8,8
5,12,8
12,3,8
3,1,8
11,12,8
20,27,8
7,9,8
12,24,8
20,11,8
25,6,8
26,0,8
10,10,8
1,28,8
6,0,8
11,15,8
11,19,8
26,6,8
19,19,8
0,27,7
12,30,7
19,21,7
4,25,7
14,7,7
23,16,7
0,4,7
0,28,7
3,26,7
6,13,7
13,15,7
24,13,7
11,25,7
14,15,7
24,16,7
25,5,7
25,21,7
15,28,7
2,24,6
12,26,6
23,12,6
3,29,6
8,7,6
26,20,6
15,17,6
23,28,6
3,13,6
18,21,6
8,4,6
24,4,6
2,23,6
4,9,6
10,6,6
18,28,6
20,16,6
22,11,6
19,7,6
5,6,6
18,3,6
1,11,6
7,24,5
4,24,5
10,19,5
16,21,5
20,13,5
9,5,5
1,10,5
8,16,5
17,6,5
9,6,5
7,29,5
20,14,5
2,19,5
10,16,5
21,9,5
23,8,5
25,10,5
0,21,5
2,9,5
2,11,5
5,1,5
7,14,5
9,29,5
14,4,5
19,5,5
21,6,5
23,5,5
25,14,5
4,5,5
5,27,5
12,14,5
13,28,5
24,19,5
13,13,5
16,1,5
4,30,5
20,20,5
10,25,5
15,6,4
24,0,4
6,7,4
14,24,4
6,30,4
18,23,4
9,0,4
11,13,4
12,31,4
23,18,4
13,16,4
6,19,4
10,17,4
11,30,4
4,26,4
16,2,4
0,16,4
1,14,4
3,19,4
3,22,4
4,17,4
11,27,4
14,21,4
14,29,4
15,12,4
16,14,4
18,9,4
18,12,4
19,0,4
19,2,4
22,2,4
23,2,4
25,20,4
26,5,4
26,11,4
4,7,4
8,27,4
22,5,4
24,26,4
24,29,4
4,28,4
9,8,4
14,20,4
21,30,4
17,28,4
17,15,4
17,4,4
7,20,3
9,15,3
14,12,3
17,27,3
19,25,3
20,26,3
4,12,3
4,20,3
19,20,3
11,9,3
14,25,3
6,1,3
21,10,3
23,29,3
3,30,3
7,2,3
19,28,3
0,25,3
1,31,3
2,30,3
3,18,3
3,20,3
5,25,3
6,8,3
10,2,3
10,8,3
10,29,3
11,1,3
11,28,3
13,12,3
15,2,3
15,4,3
15,24,3
16,4,3
16,5,3
17,5,3
20,0,3
20,6,3
22,9,3
24,2,3
25,2,3
0,10,3
5,24,3
7,1,3
7,15,3
8,17,3
11,7,3
18,22,3
20,8,3
18,17,3
10,12,3
8,0,3
9,20,3
19,24,3
26,27,3
15,22,3
12,16,3
9,30,3
1,3,2
13,31,2
21,11,2
8,20,2
7,11,2
1,19,2
13,20,2
20,3,2
25,16,2
0,12,2
1,9,2
1,25,2
2,0,2
3,0,2
3,12,2
4,13,2
4,14,2
4,22,2
4,27,2
5,14,2
5,19,2
7,5,2
7,21,2
8,21,2
8,29,2
9,7,2
9,25,2
10,13,2
10,21,2
11,5,2
11,14,2
11,22,2
13,7,2
13,19,2
14,17,2
14,30,2
14,31,2
15,9,2
15,18,2
15,19,2
15,25,2
16,9,2
17,1,2
17,18,2
17,21,2
18,6,2
18,14,2
18,16,2
19,13,2
19,31,2
20,2,2
20,12,2
21,1,2
21,15,2
22,3,2
22,13,2
22,18,2
22,21,2
23,1,2
23,3,2
23,19,2
23,21,2
25,8,2
26,4,2
26,14,2
26,18,2
26,26,2
0,18,2
2,14,2
2,25,2
2,27,2
3,8,2
5,0,2
5,17,2
8,18,2
11,20,2
12,11,2
12,28,2
15,27,2
16,17,2
18,10,2
19,11,2
20,10,2
21,3,2
23,20,2
