i,locat,count
1,0,100
1,22,100
2,12,100
3,21,100
3,28,100
4,31,100
5,28,100
5,29,100
6,16,100
7,8,100
7,16,100
7,26,100
7,27,100
8,13,100
9,9,100
10,9,100
11,0,100
12,20,100
13,3,100
14,6,100
14,14,100
14,16,100
15,0,100
15,23,100
16,6,100
16,18,100
16,28,100
17,16,100
18,8,100
19,3,100
19,18,100
19,29,100
21,13,100
22,0,100
23,17,100
23,23,100
23,30,100
24,7,100
24,9,100
25,24,100
26,1,100
0,2,99
2,10,99
3,17,99
7,22,99
10,3,99
15,11,99
16,8,99
16,13,99
17,22,99
17,29,99
18,4,99
19,4,99
25,1,99
1,30,98
3,14,98
4,10,98
5,4,98
7,12,98
11,17,98
13,22,98
14,9,98
21,27,98
3,2,97
5,26,97
10,4,97
23,4,97
26,8,97
26,15,97
21,22,97
0,15,96
2,6,96
4,4,96
7,7,96
10,24,96
13,21,96
16,25,96
21,23,96
26,21,96
20,29,96
12,21,96
15,20,95
19,10,95
21,18,95
21,25,95
22,31,95
5,10,95
1,8,95
1,16,94
10,15,94
15,8,94
17,2,94
17,17,94
23,10,94
5,9,93
5,21,93
4,0,92
7,17,92
19,23,92
23,6,92
25,22,91
26,3,91
8,1,90
11,11,90
20,1,90
6,3,90
6,27,89
14,3,89
4,11,88
1,6,86
2,5,86
4,29,86
6,5,86
19,8,86
20,24,86
19,17,85
20,25,85
20,7,85
1,7,85
12,25,84
13,0,84
6,22,83
25,18,83
3,7,82
11,8,82
24,24,81
16,23,80
17,9,80
15,10,79
13,10,79
0,8,78
6,9,78
15,12,78
10,2,78
14,13,77
14,18,77
16,27,77
9,1,77
7,30,77
10,0,76
13,27,76
15,1,75
22,25,74
12,2,74
3,16,73
3,23,73
8,10,73
14,31,73
9,2,72
18,25,71
1,13,71
19,1,71
20,11,70
10,20,70
8,7,70
24,27,69
21,24,68
23,14,67
22,14,67
2,16,67
26,24,67
9,7,67
12,22,67
22,22,66
24,11,66
25,25,66
9,31,66
17,30,66
14,25,66
24,8,65
0,4,65
8,31,65
11,16,65
7,6,65
8,3,64
16,26,64
21,16,64
26,19,64
18,7,64
25,10,64
9,28,63
16,30,63
24,20,63
8,12,62
21,21,62
24,30,62
18,29,62
20,17,62
17,25,61
13,15,61
18,18,61
8,26,60
22,29,60
23,11,60
4,1,60
10,25,59
24,17,58
13,29,57
5,7,57
11,19,57
11,5,57
6,28,56
16,12,55
22,28,55
2,4,55
20,21,54
6,23,54
12,18,54
13,11,53
0,29,53
17,13,52
22,11,52
17,7,52
3,26,52
25,9,52
11,13,52
12,4,51
14,2,51
18,0,51
24,10,50
25,31,50
16,22,50
1,29,49
19,12,49
6,26,49
11,31,49
24,6,47
5,30,47
23,28,47
23,0,46
2,15,45
4,6,44
8,11,44
12,26,44
3,6,43
12,14,43
3,18,43
2,1,43
3,10,41
12,0,41
10,5,41
11,7,41
20,22,40
1,18,39
19,26,39
5,15,38
1,25,38
21,4,38
0,1,37
0,30,37
2,22,36
6,10,36
15,15,36
2,7,35
6,12,35
21,28,35
20,23,35
5,27,35
21,0,34
12,3,34
1,20,34
4,17,34
6,6,33
15,29,33
13,19,33
6,25,32
23,31,32
19,15,32
14,23,32
2,19,32
8,19,32
21,30,32
13,30,31
22,12,31
9,29,31
18,31,31
7,28,31
21,5,31
8,14,30
10,17,30
3,1,29
11,23,29
16,11,29
16,31,29
7,21,29
19,19,29
3,0,28
10,31,28
10,11,27
24,1,27
4,8,27
16,17,27
8,30,26
13,1,26
26,12,26
15,31,26
26,25,26
0,6,26
2,20,26
5,1,26
14,19,25
13,6,25
14,29,25
15,4,25
2,8,25
5,13,25
19,11,25
20,8,24
22,26,24
11,15,24
25,19,24
8,24,23
12,7,23
23,8,23
15,6,23
26,2,23
9,11,23
26,22,23
19,2,22
10,7,21
21,10,21
3,4,21
6,4,21
3,30,21
13,25,20
20,9,20
11,4,20
10,6,20
25,3,20
25,7,19
25,29,19
1,21,19
4,19,19
15,5,19
11,27,19
2,11,19
6,2,18
7,13,18
8,9,18
25,5,18
0,13,18
4,18,18
26,20,18
23,1,18
13,2,18
15,3,18
0,17,17
12,12,17
18,24,17
10,14,17
5,18,16
22,21,16
23,22,16
20,19,16
1,19,16
3,12,16
20,31,15
0,21,15
17,15,15
11,14,15
13,20,15
7,19,15
7,25,15
21,1,15
16,2,15
4,3,14
12,17,14
22,19,14
17,10,14
26,18,14
